,State,District,Season,Crop,Year,Area,Rainfall,Production,Humidity,Min Temperature,Max Temperature,Temperature
248,kerala,idukki,whole year,black pepper,1999,57211.0,207.85844699999998,13629.0,79,10,36,27
249,kerala,idukki,whole year,black pepper,2000,58209.0,244.33412059999998,23282.0,77,15,38,27
250,kerala,idukki,whole year,black pepper,2001,60537.0,202.5765934,24560.0,79,20,36,27
251,kerala,idukki,whole year,black pepper,2002,65142.0,234.8561328,35534.0,77,16,39,27
252,kerala,idukki,whole year,black pepper,2003,68595.0,170.6075944,36417.0,76,20,35,28
253,kerala,idukki,whole year,black pepper,2004,82316.0,214.2627162,38787.0,76,21,34,27
254,kerala,idukki,whole year,black pepper,2005,84219.0,230.3833097,52063.0,76,21,38,28
255,kerala,idukki,whole year,black pepper,2006,83652.0,235.8598591,35299.0,76,18,34,28
256,kerala,idukki,whole year,black pepper,2007,65333.0,187.5629049,23311.0,76,14,37,27
257,kerala,idukki,whole year,black pepper,2008,58290.0,187.40424209999998,16708.0,75,20,33,27
258,kerala,idukki,whole year,black pepper,2009,85739.0,160.4435202,25472.0,76,20,35,28
259,kerala,idukki,whole year,black pepper,2010,87273.78,110.63327009999999,30919.38,78,15,35,27
260,kerala,idukki,whole year,black pepper,2011,44010.47,92.86502251,22762.96,76,20,34,27
261,kerala,idukki,whole year,black pepper,2012,43755.0,71.02400188,30424.0,75,19,34,28
262,kerala,idukki,whole year,black pepper,2013,42924.0,103.1890002,15036.0,79,20,34,27
263,meghalaya,east garo hills,whole year,black pepper,2004,58.0,102.95525,96.0,80,8,36,24
264,meghalaya,east garo hills,rabi,black pepper,2008,56.0,97.08335417,14.0,80,9,36,24
265,meghalaya,east garo hills,whole year,black pepper,2009,58.0,77.69402951,16.0,78,11,37,25
266,meghalaya,east garo hills,whole year,black pepper,2010,62.0,97.90175246,23.0,81,10,36,24
267,meghalaya,east garo hills,whole year,black pepper,2011,65.0,112.0912294,25.0,82,9,36,24
268,meghalaya,east garo hills,whole year,black pepper,2012,68.0,105.8036024,33.0,81,8,37,24
269,meghalaya,east garo hills,whole year,black pepper,2013,42.0,129.20146689999999,20.0,80,7,38,24
270,meghalaya,east khasi hills,whole year,black pepper,2004,173.0,97.18412224,112.0,80,8,36,24
271,meghalaya,east khasi hills,rabi,black pepper,2008,168.0,106.52917690000001,104.0,80,9,36,24
272,meghalaya,east khasi hills,whole year,black pepper,2009,167.0,78.72734807,105.0,78,11,37,25
273,meghalaya,east khasi hills,whole year,black pepper,2010,165.0,165.2909097,103.0,81,10,36,24
274,meghalaya,east khasi hills,whole year,black pepper,2011,172.0,153.9043258,112.0,82,9,36,24
275,meghalaya,east khasi hills,whole year,black pepper,2012,179.0,167.8321938,151.0,81,8,37,24
276,meghalaya,east khasi hills,whole year,black pepper,2013,182.0,187.25826619999998,154.0,80,7,38,24
277,meghalaya,west garo hills,whole year,black pepper,2004,338.0,233.51802220000002,154.0,80,8,36,24
278,meghalaya,west garo hills,rabi,black pepper,2008,336.0,184.59650180000003,151.0,80,9,36,24
279,meghalaya,west garo hills,whole year,black pepper,2009,336.0,165.6920418,148.0,78,11,37,25
280,meghalaya,west garo hills,whole year,black pepper,2010,337.0,207.87292019999998,150.0,81,10,36,24
281,meghalaya,west garo hills,whole year,black pepper,2011,341.0,206.53591,159.0,82,9,36,24
282,meghalaya,west garo hills,whole year,black pepper,2012,355.0,209.06257580000002,214.0,81,8,37,24
283,meghalaya,west garo hills,whole year,black pepper,2013,303.0,170.324798,186.0,80,7,38,24
284,meghalaya,west khasi hills,whole year,black pepper,2004,103.0,172.8543165,68.0,80,8,36,24
285,meghalaya,west khasi hills,rabi,black pepper,2008,102.0,209.25210969999998,69.0,80,9,36,24
286,meghalaya,west khasi hills,whole year,black pepper,2009,104.0,212.4965925,68.0,78,11,37,25
287,meghalaya,west khasi hills,whole year,black pepper,2010,102.0,240.13246600000002,66.0,81,10,36,24
288,meghalaya,west khasi hills,whole year,black pepper,2011,105.0,186.3784555,69.0,82,9,36,24
289,meghalaya,west khasi hills,whole year,black pepper,2012,110.0,189.284538,93.0,81,8,37,24
290,meghalaya,west khasi hills,whole year,black pepper,2013,28.0,225.03512819999997,23.0,80,7,38,24
291,tamil nadu,coimbatore,whole year,black pepper,1997,131.0,285.041205,30.0,69,19,43,28
292,tamil nadu,coimbatore,whole year,black pepper,1998,130.0,39.82675,26.0,71,19,44,29
293,tamil nadu,coimbatore,whole year,black pepper,2003,127.0,241.0598059,25.0,69,20,45,28
294,tamil nadu,coimbatore,whole year,black pepper,2005,128.0,208.7604005,25.0,70,19,40,28
295,tamil nadu,coimbatore,whole year,black pepper,2006,129.0,229.5678667,25.0,70,18,42,28
296,tamil nadu,coimbatore,whole year,black pepper,2007,129.0,265.5169056,25.0,72,18,41,28
297,tamil nadu,coimbatore,whole year,black pepper,2008,127.0,244.3360755,25.0,70,18,42,28
298,tamil nadu,coimbatore,whole year,black pepper,2009,129.0,234.81875630000002,27.0,69,19,42,29
299,tamil nadu,coimbatore,whole year,black pepper,2011,129.0,414.128069,27.0,74,17,41,28
300,tamil nadu,coimbatore,whole year,black pepper,2013,128.0,56.6065,26.0,71,19,41,28
