State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature,humidity,soil moisture
andhra pradesh,chittoor,2012,rabi       ,coriander,49,29,35,50,59
andhra pradesh,chittoor,2013,kharif     ,coriander,27,16,35,50,59
andhra pradesh,chittoor,2013,rabi       ,coriander,65,39,36,40,54
andhra pradesh,chittoor,2013,whole year ,coriander,92,55,36,35,45
andhra pradesh,chittoor,2014,kharif     ,coriander,2,1,36,35,45
andhra pradesh,chittoor,2014,rabi       ,coriander,111,57,37,42,55
andhra pradesh,east godavari,2000,whole year ,coriander,121,90,36,35,45
andhra pradesh,east godavari,2001,whole year ,coriander,32,25,37,40,46
andhra pradesh,east godavari,2002,whole year ,coriander,30,17,36,40,54
andhra pradesh,east godavari,2003,whole year ,coriander,51,39,34,55,62
andhra pradesh,east godavari,2004,whole year ,coriander,22,14,37,40,46
andhra pradesh,east godavari,2005,whole year ,coriander,15,11,25,55,55
andhra pradesh,east godavari,2006,whole year ,coriander,38,21,35,50,59
andhra pradesh,east godavari,2009,whole year ,coriander,8,8,36,40,54
andhra pradesh,guntur,2000,whole year ,coriander,35,26,37,42,55
andhra pradesh,guntur,2001,whole year ,coriander,115,89,36,40,54
andhra pradesh,guntur,2002,whole year ,coriander,64,35,34,45,52
andhra pradesh,guntur,2003,whole year ,coriander,195,148,35,50,59
andhra pradesh,guntur,2004,whole year ,coriander,16,10,37,40,46
andhra pradesh,guntur,2009,whole year ,coriander,22,23,37,42,55
andhra pradesh,guntur,2010,whole year ,coriander,25,17,34,45,52
andhra pradesh,guntur,2012,rabi       ,coriander,1,1,36,40,54
andhra pradesh,kadapa,2000,whole year ,coriander,17799,6336,34,55,62
andhra pradesh,kadapa,2001,whole year ,coriander,16141,4567,36,35,45
andhra pradesh,kadapa,2002,whole year ,coriander,11945,2377,37,42,55
andhra pradesh,kadapa,2003,whole year ,coriander,10370,2634,37,42,55
andhra pradesh,kadapa,2004,whole year ,coriander,2249,547,36,35,45
andhra pradesh,kadapa,2005,whole year ,coriander,9899,4940,34,55,62
andhra pradesh,kadapa,2006,whole year ,coriander,10308,3711,37,42,55
andhra pradesh,kadapa,2008,whole year ,coriander,16214,5010,36,41,50
andhra pradesh,kadapa,2009,whole year ,coriander,17239,7464,37,40,46
andhra pradesh,kadapa,2010,whole year ,coriander,7821,5436,37,40,46
andhra pradesh,kadapa,2011,whole year ,coriander,4710,2727,34,45,52
andhra pradesh,kadapa,2012,rabi       ,coriander,2866,1559,37,42,55
andhra pradesh,kadapa,2013,rabi       ,coriander,4209,2290,36,35,45
andhra pradesh,kadapa,2013,whole year ,coriander,4209,2290,36,35,45
andhra pradesh,kadapa,2014,rabi       ,coriander,19126,11724,34,45,52
andhra pradesh,krishna,2001,whole year ,coriander,25,19,37,40,46
andhra pradesh,krishna,2002,whole year ,coriander,14,8,36,35,45
andhra pradesh,krishna,2003,whole year ,coriander,11,8,37,40,46
andhra pradesh,krishna,2004,whole year ,coriander,14,9,37,40,46
andhra pradesh,krishna,2005,whole year ,coriander,3,2,25,55,55
andhra pradesh,krishna,2006,whole year ,coriander,40,22,36,40,54
andhra pradesh,kurnool,2000,whole year ,coriander,19621,6632,36,40,54
andhra pradesh,kurnool,2001,whole year ,coriander,25112,10271,35,50,59
andhra pradesh,kurnool,2002,whole year ,coriander,17839,5584,37,42,55
andhra pradesh,kurnool,2003,whole year ,coriander,15401,4913,37,40,46
andhra pradesh,kurnool,2004,whole year ,coriander,9147,2451,36,35,45
andhra pradesh,kurnool,2005,whole year ,coriander,6514,2736,36,35,45
andhra pradesh,kurnool,2006,whole year ,coriander,6517,2020,25,55,55
andhra pradesh,kurnool,2008,whole year ,coriander,6452,4445,36,40,54
andhra pradesh,kurnool,2009,whole year ,coriander,9282,6646,36,35,45
andhra pradesh,kurnool,2010,whole year ,coriander,3659,2477,34,55,62
andhra pradesh,kurnool,2011,whole year ,coriander,3151,1711,34,55,62
andhra pradesh,kurnool,2012,kharif     ,coriander,1107,716,36,35,45
andhra pradesh,kurnool,2012,rabi       ,coriander,1950,1262,36,40,54
andhra pradesh,kurnool,2013,kharif     ,coriander,490,317,34,45,52
andhra pradesh,kurnool,2013,rabi       ,coriander,1584,1025,37,40,46
andhra pradesh,kurnool,2013,whole year ,coriander,2074,1342,36,35,45
andhra pradesh,kurnool,2014,rabi       ,coriander,10989,3857,37,42,55
andhra pradesh,prakasam,2000,whole year ,coriander,3057,2268,34,55,62
andhra pradesh,prakasam,2001,whole year ,coriander,2993,2317,25,55,55
andhra pradesh,prakasam,2002,whole year ,coriander,3841,2124,34,45,52
andhra pradesh,prakasam,2003,whole year ,coriander,6061,4588,37,42,55
andhra pradesh,prakasam,2004,whole year ,coriander,1558,957,36,35,45
andhra pradesh,prakasam,2005,whole year ,coriander,1557,1101,36,40,54
andhra pradesh,prakasam,2006,whole year ,coriander,1246,677,37,42,55
andhra pradesh,prakasam,2008,whole year ,coriander,2583,2469,34,55,62
andhra pradesh,prakasam,2009,whole year ,coriander,1555,1600,37,40,46
andhra pradesh,prakasam,2010,whole year ,coriander,843,571,37,42,55
andhra pradesh,prakasam,2011,whole year ,coriander,529,501,36,35,45
andhra pradesh,prakasam,2012,rabi       ,coriander,56,52,34,45,52
andhra pradesh,prakasam,2013,rabi       ,coriander,105,97,37,40,46
andhra pradesh,prakasam,2013,whole year ,coriander,105,97,36,35,45
andhra pradesh,prakasam,2014,rabi       ,coriander,1560,807,36,41,50
andhra pradesh,spsr nellore,2000,whole year ,coriander,125,93,25,55,55
andhra pradesh,spsr nellore,2001,whole year ,coriander,20,15,36,35,45
andhra pradesh,spsr nellore,2002,whole year ,coriander,33,18,36,41,50
andhra pradesh,spsr nellore,2003,whole year ,coriander,145,110,37,40,46
andhra pradesh,spsr nellore,2004,whole year ,coriander,24,15,37,42,55
andhra pradesh,spsr nellore,2005,whole year ,coriander,20,14,37,40,46
andhra pradesh,srikakulam,2008,whole year ,coriander,11,11,37,42,55
andhra pradesh,visakhapatanam,2008,whole year ,coriander,30,29,36,41,50
andhra pradesh,west godavari,2005,whole year ,coriander,54,38,34,55,62
andhra pradesh,anantapur,1997,kharif     ,dry chillies,3700,7100,36,35,45
andhra pradesh,anantapur,1997,rabi       ,dry chillies,100,100,36,40,54
andhra pradesh,anantapur,1998,kharif     ,dry chillies,4000,10000,37,40,46
andhra pradesh,anantapur,1998,rabi       ,dry chillies,200,200,37,42,55
andhra pradesh,anantapur,1999,whole year ,dry chillies,5199,5759,34,55,62
andhra pradesh,anantapur,2000,kharif     ,dry chillies,3755,10146,36,40,54
andhra pradesh,anantapur,2000,rabi       ,dry chillies,71,81,34,55,62
andhra pradesh,anantapur,2001,kharif     ,dry chillies,3765,7127,35,50,59
andhra pradesh,anantapur,2001,rabi       ,dry chillies,108,168,34,55,62
andhra pradesh,anantapur,2002,kharif     ,dry chillies,2737,6128,35,50,59
andhra pradesh,anantapur,2002,rabi       ,dry chillies,83,161,34,45,52
andhra pradesh,anantapur,2003,kharif     ,dry chillies,2920,10702,37,40,46
andhra pradesh,anantapur,2003,rabi       ,dry chillies,91,190,36,35,45
andhra pradesh,anantapur,2004,kharif     ,dry chillies,3402,11288,36,41,50
andhra pradesh,anantapur,2004,rabi       ,dry chillies,155,754,25,55,55
andhra pradesh,anantapur,2005,kharif     ,dry chillies,2178,6175,25,55,55
andhra pradesh,anantapur,2005,rabi       ,dry chillies,58,214,36,40,54
andhra pradesh,anantapur,2006,kharif     ,dry chillies,1754,5658,36,40,54
andhra pradesh,anantapur,2006,rabi       ,dry chillies,10,37,25,55,55
andhra pradesh,anantapur,2007,kharif     ,dry chillies,2000,9000,35,50,59
andhra pradesh,anantapur,2008,kharif     ,dry chillies,1574,5506,36,35,45
andhra pradesh,anantapur,2009,kharif     ,dry chillies,1604,4031,36,35,45
andhra pradesh,anantapur,2010,kharif     ,dry chillies,1968,7307,36,40,54
andhra pradesh,anantapur,2011,kharif     ,dry chillies,4101,10425,36,35,45
andhra pradesh,anantapur,2011,rabi       ,dry chillies,64,83,36,35,45
andhra pradesh,anantapur,2012,kharif     ,dry chillies,2736,5603,34,45,52
andhra pradesh,anantapur,2012,rabi       ,dry chillies,70,159,25,55,55
andhra pradesh,anantapur,2013,kharif     ,dry chillies,2647,3965,37,40,46
andhra pradesh,anantapur,2013,rabi       ,dry chillies,27,54,35,50,59
andhra pradesh,anantapur,2014,kharif     ,dry chillies,2799,11848,36,35,45
andhra pradesh,anantapur,2014,rabi       ,dry chillies,124,387,35,50,59
andhra pradesh,chittoor,1997,kharif     ,dry chillies,600,800,37,42,55
andhra pradesh,chittoor,1997,rabi       ,dry chillies,3000,2100,35,50,59
andhra pradesh,chittoor,1998,kharif     ,dry chillies,600,900,35,50,59
andhra pradesh,chittoor,1998,rabi       ,dry chillies,3200,4100,37,42,55
andhra pradesh,chittoor,1999,whole year ,dry chillies,3370,4968,36,41,50
andhra pradesh,chittoor,2000,kharif     ,dry chillies,522,770,37,40,46
andhra pradesh,chittoor,2000,rabi       ,dry chillies,2676,3056,37,42,55
andhra pradesh,chittoor,2001,kharif     ,dry chillies,443,641,34,55,62
andhra pradesh,chittoor,2001,rabi       ,dry chillies,2958,4609,35,50,59
andhra pradesh,chittoor,2002,kharif     ,dry chillies,519,791,34,45,52
andhra pradesh,chittoor,2002,rabi       ,dry chillies,2199,4253,36,40,54
andhra pradesh,chittoor,2003,kharif     ,dry chillies,412,1014,36,41,50
andhra pradesh,chittoor,2003,rabi       ,dry chillies,2792,5832,37,42,55
andhra pradesh,chittoor,2004,kharif     ,dry chillies,537,1171,35,50,59
andhra pradesh,chittoor,2004,rabi       ,dry chillies,2285,11110,34,55,62
andhra pradesh,chittoor,2005,kharif     ,dry chillies,459,858,25,55,55
andhra pradesh,chittoor,2005,rabi       ,dry chillies,2159,7967,34,45,52
andhra pradesh,chittoor,2006,kharif     ,dry chillies,413,1104,36,40,54
andhra pradesh,chittoor,2006,rabi       ,dry chillies,2405,8975,36,41,50
andhra pradesh,chittoor,2007,kharif     ,dry chillies,1000,1000,37,40,46
andhra pradesh,chittoor,2007,rabi       ,dry chillies,2000,7000,37,42,55
andhra pradesh,chittoor,2008,kharif     ,dry chillies,514,1276,34,55,62
andhra pradesh,chittoor,2008,rabi       ,dry chillies,2500,5155,36,41,50
andhra pradesh,chittoor,2009,kharif     ,dry chillies,591,1415,37,40,46
andhra pradesh,chittoor,2009,rabi       ,dry chillies,2297,7695,35,50,59
andhra pradesh,chittoor,2010,rabi       ,dry chillies,2034,4153,37,42,55
andhra pradesh,chittoor,2011,rabi       ,dry chillies,1897,2474,36,35,45
andhra pradesh,chittoor,2012,rabi       ,dry chillies,1702,3877,37,40,46
andhra pradesh,chittoor,2013,rabi       ,dry chillies,1751,3488,35,50,59
andhra pradesh,chittoor,2014,rabi       ,dry chillies,1693,5287,34,55,62
andhra pradesh,east godavari,1997,kharif     ,dry chillies,700,2200,37,40,46
andhra pradesh,east godavari,1997,rabi       ,dry chillies,700,1200,36,40,54
andhra pradesh,east godavari,1998,kharif     ,dry chillies,1100,3300,25,55,55
andhra pradesh,east godavari,1998,rabi       ,dry chillies,1100,2200,36,40,54
andhra pradesh,east godavari,1999,whole year ,dry chillies,1825,3246,25,55,55
andhra pradesh,east godavari,2000,kharif     ,dry chillies,868,2396,35,50,59
andhra pradesh,east godavari,2000,rabi       ,dry chillies,539,1112,25,55,55
andhra pradesh,east godavari,2001,kharif     ,dry chillies,628,2274,37,40,46
andhra pradesh,east godavari,2001,rabi       ,dry chillies,936,1882,36,35,45
andhra pradesh,east godavari,2002,kharif     ,dry chillies,512,1011,36,41,50
andhra pradesh,east godavari,2002,rabi       ,dry chillies,597,993,25,55,55
andhra pradesh,east godavari,2003,kharif     ,dry chillies,1070,4714,37,42,55
andhra pradesh,east godavari,2003,rabi       ,dry chillies,1029,2172,36,41,50
andhra pradesh,east godavari,2004,kharif     ,dry chillies,599,2479,34,45,52
andhra pradesh,east godavari,2004,rabi       ,dry chillies,613,1582,36,41,50
andhra pradesh,east godavari,2005,kharif     ,dry chillies,786,3296,36,41,50
andhra pradesh,east godavari,2005,rabi       ,dry chillies,470,1024,36,35,45
andhra pradesh,east godavari,2006,kharif     ,dry chillies,978,4401,37,40,46
andhra pradesh,east godavari,2006,rabi       ,dry chillies,645,1927,25,55,55
andhra pradesh,east godavari,2007,kharif     ,dry chillies,1000,2000,36,35,45
andhra pradesh,east godavari,2007,rabi       ,dry chillies,1000,2000,25,55,55
andhra pradesh,east godavari,2008,kharif     ,dry chillies,553,2469,36,40,54
andhra pradesh,east godavari,2008,rabi       ,dry chillies,702,2478,37,40,46
andhra pradesh,east godavari,2009,kharif     ,dry chillies,281,1347,36,35,45
andhra pradesh,east godavari,2009,rabi       ,dry chillies,290,1141,34,55,62
andhra pradesh,east godavari,2010,kharif     ,dry chillies,285,945,34,55,62
andhra pradesh,east godavari,2010,rabi       ,dry chillies,446,1841,37,40,46
andhra pradesh,east godavari,2011,kharif     ,dry chillies,150,570,34,55,62
andhra pradesh,east godavari,2011,rabi       ,dry chillies,180,784,34,55,62
andhra pradesh,east godavari,2012,kharif     ,dry chillies,89,368,25,55,55
andhra pradesh,east godavari,2012,rabi       ,dry chillies,122,487,34,45,52
andhra pradesh,east godavari,2013,kharif     ,dry chillies,189,916,37,42,55
andhra pradesh,east godavari,2013,rabi       ,dry chillies,103,483,37,42,55
andhra pradesh,east godavari,2014,kharif     ,dry chillies,374,2152,34,55,62
andhra pradesh,east godavari,2014,rabi       ,dry chillies,2632,3201,34,55,62
andhra pradesh,guntur,1997,kharif     ,dry chillies,27100,97300,36,41,50
andhra pradesh,guntur,1997,rabi       ,dry chillies,700,1300,34,55,62
andhra pradesh,guntur,1998,kharif     ,dry chillies,36500,130500,36,41,50
andhra pradesh,guntur,1998,rabi       ,dry chillies,400,900,37,42,55
andhra pradesh,guntur,1999,whole year ,dry chillies,59256,111260,36,41,50
andhra pradesh,guntur,2000,kharif     ,dry chillies,50294,147965,37,40,46
andhra pradesh,guntur,2000,rabi       ,dry chillies,664,1370,37,42,55
andhra pradesh,guntur,2001,kharif     ,dry chillies,51052,203953,37,42,55
andhra pradesh,guntur,2001,rabi       ,dry chillies,515,1036,34,45,52
andhra pradesh,guntur,2002,kharif     ,dry chillies,58658,118606,36,40,54
andhra pradesh,guntur,2002,rabi       ,dry chillies,658,1094,25,55,55
andhra pradesh,guntur,2003,kharif     ,dry chillies,67122,338429,34,45,52
andhra pradesh,guntur,2003,rabi       ,dry chillies,172,363,37,40,46
andhra pradesh,guntur,2004,kharif     ,dry chillies,55534,272727,34,55,62
andhra pradesh,guntur,2004,rabi       ,dry chillies,271,699,36,41,50
andhra pradesh,guntur,2005,kharif     ,dry chillies,41126,193539,36,41,50
andhra pradesh,guntur,2005,rabi       ,dry chillies,327,712,37,42,55
andhra pradesh,guntur,2006,kharif     ,dry chillies,58871,285819,25,55,55
andhra pradesh,guntur,2006,rabi       ,dry chillies,1045,3121,37,40,46
andhra pradesh,guntur,2007,kharif     ,dry chillies,63000,312000,34,45,52
andhra pradesh,guntur,2007,rabi       ,dry chillies,1000,3000,37,42,55
andhra pradesh,guntur,2008,kharif     ,dry chillies,61236,305935,35,50,59
andhra pradesh,guntur,2008,rabi       ,dry chillies,2392,8444,25,55,55
andhra pradesh,guntur,2009,kharif     ,dry chillies,61837,341340,36,40,54
andhra pradesh,guntur,2009,rabi       ,dry chillies,5101,20067,34,45,52
andhra pradesh,guntur,2010,kharif     ,dry chillies,61394,205424,36,40,54
andhra pradesh,guntur,2010,rabi       ,dry chillies,3314,13677,25,55,55
andhra pradesh,guntur,2011,kharif     ,dry chillies,74418,319402,34,55,62
andhra pradesh,guntur,2011,rabi       ,dry chillies,1706,7431,25,55,55
andhra pradesh,guntur,2012,kharif     ,dry chillies,58609,255418,25,55,55
andhra pradesh,guntur,2012,rabi       ,dry chillies,3267,13035,34,55,62
andhra pradesh,guntur,2013,kharif     ,dry chillies,63406,325717,36,40,54
andhra pradesh,guntur,2013,rabi       ,dry chillies,1407,6592,37,40,46
andhra pradesh,guntur,2014,kharif     ,dry chillies,61140,398021,37,42,55
andhra pradesh,guntur,2014,rabi       ,dry chillies,2078,10500,36,35,45
andhra pradesh,kadapa,1997,kharif     ,dry chillies,3300,4400,34,45,52
andhra pradesh,kadapa,1997,rabi       ,dry chillies,200,200,36,35,45
andhra pradesh,kadapa,1998,kharif     ,dry chillies,4700,7200,36,40,54
andhra pradesh,kadapa,1998,rabi       ,dry chillies,300,500,25,55,55
andhra pradesh,kadapa,1999,whole year ,dry chillies,6246,8282,36,40,54
andhra pradesh,kadapa,2000,kharif     ,dry chillies,4753,7015,36,41,50
andhra pradesh,kadapa,2000,rabi       ,dry chillies,293,335,36,40,54
andhra pradesh,kadapa,2001,kharif     ,dry chillies,5056,7316,34,55,62
andhra pradesh,kadapa,2001,rabi       ,dry chillies,409,637,35,50,59
andhra pradesh,kadapa,2002,kharif     ,dry chillies,3839,5854,36,35,45
andhra pradesh,kadapa,2002,rabi       ,dry chillies,356,687,35,50,59
andhra pradesh,kadapa,2003,kharif     ,dry chillies,3422,8422,36,41,50
andhra pradesh,kadapa,2003,rabi       ,dry chillies,314,656,36,35,45
andhra pradesh,kadapa,2004,kharif     ,dry chillies,3670,8001,36,41,50
andhra pradesh,kadapa,2004,rabi       ,dry chillies,197,958,36,35,45
andhra pradesh,kadapa,2005,kharif     ,dry chillies,2255,4217,37,40,46
andhra pradesh,kadapa,2005,rabi       ,dry chillies,234,863,35,50,59
andhra pradesh,kadapa,2006,kharif     ,dry chillies,2385,6373,35,50,59
andhra pradesh,kadapa,2006,rabi       ,dry chillies,551,2056,37,42,55
andhra pradesh,kadapa,2007,kharif     ,dry chillies,3000,5000,36,40,54
andhra pradesh,kadapa,2008,kharif     ,dry chillies,1251,2219,34,45,52
andhra pradesh,kadapa,2008,rabi       ,dry chillies,55,113,36,41,50
andhra pradesh,kadapa,2009,kharif     ,dry chillies,712,2185,37,42,55
andhra pradesh,kadapa,2009,rabi       ,dry chillies,40,134,37,40,46
andhra pradesh,kadapa,2010,kharif     ,dry chillies,753,2091,36,41,50
andhra pradesh,kadapa,2010,rabi       ,dry chillies,8,16,36,35,45
andhra pradesh,kadapa,2011,kharif     ,dry chillies,624,2497,34,45,52
andhra pradesh,kadapa,2011,rabi       ,dry chillies,18,23,36,40,54
andhra pradesh,kadapa,2012,kharif     ,dry chillies,597,2827,36,35,45
andhra pradesh,kadapa,2012,rabi       ,dry chillies,16,36,34,55,62
andhra pradesh,kadapa,2013,kharif     ,dry chillies,679,2463,36,40,54
andhra pradesh,kadapa,2013,rabi       ,dry chillies,78,155,37,42,55
andhra pradesh,kadapa,2014,kharif     ,dry chillies,830,4150,36,41,50
andhra pradesh,kadapa,2014,rabi       ,dry chillies,5,16,25,55,55
andhra pradesh,krishna,1997,kharif     ,dry chillies,5100,14500,25,55,55
andhra pradesh,krishna,1997,rabi       ,dry chillies,1800,3000,36,41,50
andhra pradesh,krishna,1998,kharif     ,dry chillies,9500,34600,36,40,54
andhra pradesh,krishna,1998,rabi       ,dry chillies,2700,5700,36,40,54
andhra pradesh,krishna,1999,whole year ,dry chillies,12985,38332,36,35,45
andhra pradesh,krishna,2000,kharif     ,dry chillies,8952,30016,25,55,55
andhra pradesh,krishna,2000,rabi       ,dry chillies,1987,4099,37,40,46
andhra pradesh,krishna,2001,kharif     ,dry chillies,9791,34885,25,55,55
andhra pradesh,krishna,2001,rabi       ,dry chillies,1417,2850,36,41,50
andhra pradesh,krishna,2002,kharif     ,dry chillies,12584,31573,36,41,50
andhra pradesh,krishna,2002,rabi       ,dry chillies,1000,1663,36,40,54
andhra pradesh,krishna,2003,kharif     ,dry chillies,11962,36939,36,41,50
andhra pradesh,krishna,2003,rabi       ,dry chillies,1365,2882,34,45,52
andhra pradesh,krishna,2004,kharif     ,dry chillies,9629,39344,25,55,55
andhra pradesh,krishna,2004,rabi       ,dry chillies,1702,4391,36,41,50
andhra pradesh,krishna,2005,kharif     ,dry chillies,4951,17215,36,35,45
andhra pradesh,krishna,2005,rabi       ,dry chillies,1184,2579,37,40,46
andhra pradesh,krishna,2006,kharif     ,dry chillies,6470,28682,35,50,59
andhra pradesh,krishna,2006,rabi       ,dry chillies,698,2085,35,50,59
andhra pradesh,krishna,2007,kharif     ,dry chillies,8000,29000,37,42,55
andhra pradesh,krishna,2007,rabi       ,dry chillies,1000,3000,36,35,45
andhra pradesh,krishna,2008,kharif     ,dry chillies,7931,29186,36,41,50
andhra pradesh,krishna,2008,rabi       ,dry chillies,688,2429,36,41,50
andhra pradesh,krishna,2009,kharif     ,dry chillies,9512,27813,25,55,55
andhra pradesh,krishna,2009,rabi       ,dry chillies,1023,4024,36,35,45
andhra pradesh,krishna,2010,kharif     ,dry chillies,9375,30853,36,40,54
andhra pradesh,krishna,2010,rabi       ,dry chillies,1533,6327,36,40,54
andhra pradesh,krishna,2011,kharif     ,dry chillies,12656,37462,36,41,50
andhra pradesh,krishna,2011,rabi       ,dry chillies,1568,6830,37,42,55
andhra pradesh,krishna,2012,kharif     ,dry chillies,9725,32919,36,41,50
